drugname,outcome_code,count
ADBRY,Life Threatening,20
ADBRY,Other Serious Outcome,171
ADCETRIS,Death,82
ADCETRIS,Disability,11
ADCETRIS,Hospitalization,178
ADCETRIS,Life Threatening,158
ADCETRIS,Other Serious Outcome,414
ADCIRCA,Death,35
ADCIRCA,Hospitalization,98
ADCIRCA,Other Serious Outcome,96
ADDERALL,Disability,14
ADDERALL,Life Threatening,2
ADDERALL,Other Serious Outcome,84
ADDERALL XR,Life Threatening,4
ADDERALL XR,Other Serious Outcome,18
ADDYI,Other Serious Outcome,2
ADEBRELIMAB,Hospitalization,1
ADEMPAS,Death,42
ADEMPAS,Hospitalization,339
ADEMPAS,Other Serious Outcome,476
ADENOSINE,Hospitalization,8
ADENOSINE,Life Threatening,8
ADENOSINE,Other Serious Outcome,10
ADMELOG,Hospitalization,3
ADMELOG,Life Threatening,4
ADMELOG,Other Serious Outcome,18
ADO-TRASTUZUMAB EMTANSINE,Death,3
ADO-TRASTUZUMAB EMTANSINE,Hospitalization,28
ADO-TRASTUZUMAB EMTANSINE,Other Serious Outcome,88
ADRENACLICK,Death,7
ADRENACLICK,Hospitalization,14
ADRENACLICK,Other Serious Outcome,36
ADRENALIN,Death,8
ADRENALIN,Hospitalization,18
ADRENALIN,Other Serious Outcome,7
ADRIAMYCIN,Death,1
ADRIAMYCIN,Life Threatening,1
ADRIAMYCIN,Other Serious Outcome,6
ADSTILADRIN,Death,3
ADSTILADRIN,Hospitalization,3
ADSTILADRIN,Other Serious Outcome,16
ADVAIR DISKUS,Disability,32
ADVAIR DISKUS,Hospitalization,35
ADVAIR DISKUS,Other Serious Outcome,35
ADVAIR DISKUS,Required Intervention,3
ADVAIR HFA,Disability,210
ADVAIR HFA,Hospitalization,223
ADVAIR HFA,Other Serious Outcome,287
ADVAIR HFA,Required Intervention,2
ADVATE,Death,1
ADVATE,Hospitalization,3943
ADVATE,Life Threatening,12
ADVATE,Other Serious Outcome,12154
ADVIL,Death,167
ADVIL,Disability,167
ADVIL,Hospitalization,231
ADVIL,Life Threatening,177
ADVIL,Other Serious Outcome,291
ADVIL COLD AND SINUS,Other Serious Outcome,2
ADVIL DUAL ACTION WITH ACETAMINOPHEN,Other Serious Outcome,1
ADVIL LIQUI-GELS,Other Serious Outcome,1
ADVIL TARGETED RELIEF,Other Serious Outcome,2
ADYNOVATE,Death,13
ADYNOVATE,Hospitalization,1080
ADYNOVATE,Life Threatening,29
ADYNOVATE,Other Serious Outcome,1470
ADZYNMA,Other Serious Outcome,5
AERIUS (DESLORATADINE),Hospitalization,5
AERIUS (DESLORATADINE),Other Serious Outcome,5
AFATINIB,Death,16
AFATINIB,Hospitalization,16
AFATINIB,Other Serious Outcome,47
AFATINIB DIMALEATE,Other Serious Outcome,2
AFINITOR,Death,34
AFINITOR,Disability,33
AFINITOR,Hospitalization,68
AFINITOR,Life Threatening,1
AFINITOR,Other Serious Outcome,111
AFLIBERCEPT,Other Serious Outcome,15
AFLIBERCEPT-AYYH,Other Serious Outcome,6
AFREZZA,Hospitalization,2
AFRIN ALLERGY SINUS NASAL,Other Serious Outcome,2
AFRIN NO DRIP ORIGINAL PUMP MIST,Other Serious Outcome,10
AFRIN NO DRIP SEVERE CONGESTION,Death,3
AFRIN NO DRIP SEVERE CONGESTION,Hospitalization,2
AFRIN NO DRIP SEVERE CONGESTION,Other Serious Outcome,18
AFRIN ORIGINAL NASAL,Death,4
AFRIN ORIGINAL NASAL,Hospitalization,2
AFRIN ORIGINAL NASAL,Other Serious Outcome,91
AFRIN SEVERE CONGESTION,Other Serious Outcome,2
